id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,404,1,29,0,374,4,0,0,0,4,10,0,1,9,572,26,546,7,0,7,232,3,188,3,38,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,369,3,29,2,335,1,0,0,1,0,0,0,0,0,451,17,434,25,0,25,141,10,113,2,16,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,237,3,26,1,207,1,0,0,0,1,5,0,0,5,449,36,413,23,0,23,131,5,105,3,18,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,86,0,3,1,82,0,0,0,0,0,0,0,0,0,108,17,91,4,0,4,34,0,24,1,9,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,319,10,31,1,277,0,0,0,0,0,4,0,0,4,499,61,438,17,0,17,128,2,104,2,20,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,221,6,24,2,189,5,1,0,1,3,18,0,0,18,596,42,554,8,0,8,138,4,111,2,21,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,310,3,58,1,248,0,0,0,0,0,4,0,0,4,362,34,328,17,0,17,143,2,95,0,46,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,387,1,39,1,346,2,0,0,0,2,3,0,1,2,793,65,728,25,0,25,180,13,139,4,24,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,349,0,12,0,337,0,0,0,0,0,4,0,0,4,592,64,528,9,0,9,226,17,157,3,49,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,314,5,41,3,265,0,0,0,0,0,5,0,0,5,376,57,319,31,0,31,229,6,189,9,25,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,613,12,39,2,560,4,0,0,0,4,9,0,0,9,1291,137,1154,24,0,24,255,12,190,8,45,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,328,5,44,3,276,1,0,0,0,1,13,0,0,13,504,58,446,13,0,13,182,8,128,7,39,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,198,1,10,2,185,1,0,0,0,1,13,0,0,13,476,26,450,12,0,12,155,3,136,2,14,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,278,9,38,1,230,1,0,0,0,1,0,0,0,0,622,75,547,41,0,41,216,4,160,4,48,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,341,17,40,2,282,2,0,0,1,1,5,0,0,5,710,118,592,35,0,35,225,10,176,3,36,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,268,8,34,0,226,1,0,0,0,1,5,0,0,5,671,151,520,15,0,15,208,11,143,4,50,
