id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,377,0,19,0,358,4,0,0,0,4,9,0,0,9,549,32,517,7,0,7,206,1,169,2,34,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,350,2,17,2,329,1,0,0,1,0,0,0,0,0,439,20,419,25,0,25,126,4,109,2,11,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,223,5,23,1,194,1,0,0,0,1,5,0,0,5,423,31,392,23,0,23,117,4,92,2,19,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,83,0,2,1,80,0,0,0,0,0,0,0,0,0,97,13,84,4,0,4,26,1,22,1,2,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,286,2,33,1,250,0,0,0,0,0,4,0,1,3,446,49,397,17,0,17,116,5,86,1,24,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,192,5,15,2,170,4,0,0,1,3,18,0,0,18,563,38,525,8,0,8,119,1,98,2,18,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,256,2,33,1,220,0,0,0,0,0,4,0,0,4,341,31,310,16,0,16,109,5,81,0,23,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,353,4,20,1,328,2,0,0,0,2,3,0,1,2,739,55,684,25,0,25,150,3,119,3,25,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,337,3,10,0,324,0,0,0,0,0,4,0,1,3,451,51,400,9,0,9,173,8,135,3,27,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,279,2,33,3,241,0,0,0,0,0,2,0,1,1,335,45,290,31,0,31,213,2,171,9,31,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,587,8,39,2,538,4,0,0,0,4,9,0,0,9,1203,90,1113,23,0,23,220,7,158,7,48,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,298,7,31,3,257,1,0,0,0,1,13,0,0,13,469,42,427,13,0,13,152,3,113,7,29,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,190,2,7,2,179,1,0,0,0,1,13,0,0,13,451,13,438,10,0,10,146,2,130,2,12,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,243,3,38,1,201,0,0,0,0,0,0,0,0,0,579,70,509,39,0,39,192,4,133,3,52,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,302,4,34,2,262,2,0,0,1,1,5,0,0,5,640,85,555,34,0,34,196,10,141,2,43,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,236,3,22,0,211,1,0,0,0,1,5,0,0,5,585,103,482,15,0,15,166,6,126,3,31,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,187,3,36,0,148,0,0,0,0,0,1,0,1,0,275,62,213,8,0,8,78,3,50,2,23,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,489,6,33,2,448,1,0,0,0,1,7,0,0,7,681,94,587,32,0,32,272,9,226,12,25,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,754,3,21,2,728,2,0,0,0,2,14,0,2,12,1657,85,1572,48,0,48,565,10,477,10,68,
