id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,380,1,18,0,361,4,0,0,0,4,9,0,0,9,550,32,518,7,0,7,208,1,170,2,35,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,350,1,17,2,330,1,0,0,1,0,0,0,0,0,440,18,422,25,0,25,127,4,108,2,13,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,224,5,23,1,195,1,0,0,0,1,5,0,0,5,428,35,393,23,0,23,117,3,94,2,18,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,83,0,2,1,80,0,0,0,0,0,0,0,0,0,100,15,85,4,0,4,28,1,23,1,3,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,289,4,31,1,253,0,0,0,0,0,4,0,1,3,457,51,406,17,0,17,116,5,91,1,19,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,193,5,14,2,172,4,0,0,1,3,18,0,0,18,564,38,526,8,0,8,119,1,98,2,18,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,261,4,35,1,221,0,0,0,0,0,4,0,0,4,342,32,310,16,0,16,116,5,81,0,30,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,354,6,19,1,328,2,0,0,0,2,3,0,1,2,744,57,687,25,0,25,156,7,124,3,22,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,338,3,11,0,324,0,0,0,0,0,4,0,1,3,456,50,406,9,0,9,185,18,135,3,29,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,283,2,34,3,244,0,0,0,0,0,2,0,1,1,339,48,291,31,0,31,216,2,174,9,31,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,587,10,38,2,537,4,0,0,0,4,9,0,0,9,1214,100,1114,22,0,22,223,9,163,7,44,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,301,6,32,3,260,1,0,0,0,1,13,0,0,13,470,42,428,13,0,13,151,2,117,7,25,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,190,0,7,2,181,1,0,0,0,1,13,0,0,13,456,17,439,10,0,10,149,4,130,2,13,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,247,7,37,1,202,0,0,0,0,0,0,0,0,0,594,84,510,39,0,39,194,4,134,3,53,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,304,6,33,2,263,2,0,0,1,1,5,0,0,5,647,89,558,34,0,34,199,10,142,2,45,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,242,7,23,0,212,1,0,0,0,1,5,0,0,5,590,107,483,15,0,15,174,6,130,3,35,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,192,8,35,0,149,0,0,0,0,0,1,0,1,0,281,64,217,8,0,8,82,3,53,2,24,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,500,5,39,2,454,1,0,0,0,1,7,0,0,7,707,119,588,32,0,32,280,12,226,12,30,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,757,3,21,2,731,2,0,0,0,2,14,0,2,12,1660,88,1572,48,0,48,583,20,481,10,72,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,518,8,13,1,496,0,0,0,0,0,10,0,0,10,1183,62,1121,53,0,53,321,18,264,5,34,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,461,9,46,1,405,0,0,0,0,0,6,0,0,6,1043,65,978,12,0,12,274,7,216,4,47,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,644,6,61,7,570,1,0,0,0,1,4,0,0,4,1370,102,1268,14,0,14,465,15,361,12,77,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,701,11,90,4,596,1,0,0,0,1,30,0,0,30,1633,52,1581,85,0,85,241,9,184,6,42,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,235,3,9,2,221,0,0,0,0,0,9,0,1,8,504,54,450,13,0,13,170,4,143,6,17,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,552,9,30,1,512,2,0,0,0,2,12,0,1,11,485,71,414,11,0,11,135,6,100,4,25,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,583,6,93,3,481,0,0,0,0,0,2,0,1,1,446,33,413,8,0,8,190,4,146,7,33,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,123,4,9,0,110,0,0,0,0,0,0,0,0,0,177,10,167,11,0,11,43,2,27,2,12,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,150,0,4,0,146,1,0,0,0,1,10,0,0,10,240,14,226,0,0,0,50,1,47,1,1,
