id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,458,2,33,0,423,4,0,0,0,4,10,0,0,10,614,25,589,9,0,9,323,2,261,4,56,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,389,2,14,2,371,1,0,0,1,0,0,0,0,0,473,7,466,25,0,25,172,4,151,4,13,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,266,0,10,1,255,1,0,0,0,1,5,0,0,5,504,29,475,23,0,23,155,6,137,3,9,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,97,0,3,1,93,1,0,0,0,1,0,0,0,0,126,7,119,4,0,4,43,1,34,1,7,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,371,4,19,1,347,0,0,0,0,0,4,0,0,4,605,40,565,17,0,17,151,1,132,3,15,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,272,3,16,2,251,5,0,0,1,4,18,0,0,18,665,28,637,8,0,8,172,3,140,2,27,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,386,5,22,1,358,0,0,0,0,0,5,0,0,5,395,20,375,17,0,17,181,6,156,0,19,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,486,3,52,1,430,3,0,0,0,3,3,0,0,3,987,110,877,25,0,25,244,9,182,5,48,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,424,7,31,0,386,2,1,0,0,1,4,0,0,4,780,74,706,10,0,10,237,10,199,6,22,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,363,3,16,3,341,1,0,0,0,1,8,0,0,8,550,83,467,32,0,32,266,6,219,10,31,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,696,4,46,2,644,4,0,0,0,4,9,0,0,9,1455,92,1363,24,0,24,312,8,258,8,38,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,377,3,14,3,357,2,0,0,0,2,13,0,0,13,560,30,530,13,0,13,219,5,190,7,17,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,226,4,14,2,206,1,0,0,0,1,13,0,0,13,551,62,489,13,0,13,179,1,158,4,16,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,328,6,29,1,292,2,1,0,0,1,0,0,0,0,687,43,644,41,0,41,266,4,221,5,36,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,391,2,30,2,357,2,0,0,1,1,6,0,0,6,803,63,740,40,0,40,275,9,230,6,30,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,322,8,35,0,279,1,0,0,0,1,5,0,0,5,924,216,708,15,0,15,288,10,216,6,56,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,232,2,9,0,221,0,0,0,0,0,1,0,0,1,406,27,379,9,0,9,112,0,96,3,13,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,630,6,25,2,597,1,0,0,0,1,7,0,0,7,1016,88,928,34,0,34,415,3,361,17,34,
