id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,4,1,3,0,0,0,0,0,0,0,0,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,9,3,6,3,3,0,3,3,0,0,0,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,4,0,4,2,1,1,2,2,0,0,0,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,4,3,1,1,0,1,1,0,0,1,0,
3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,2,0,2,0,0,0,0,0,0,0,0,
3173011003,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,1,1,0,0,0,0,0,0,0,0,0,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,2,1,1,2,1,1,1,0,0,0,1,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1,0,1,2,2,0,2,2,0,0,0,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,1,0,1,3,3,0,2,2,0,0,0,
3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,4,2,2,4,2,2,0,0,0,0,0,
3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,2,0,2,2,2,0,1,1,0,0,0,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,15,13,2,8,8,0,10,9,0,0,1,
3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,1,0,1,1,0,1,0,0,0,0,0,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,5,0,5,10,9,1,9,7,0,0,2,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,3,0,3,4,2,2,1,1,0,0,0,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,3,1,2,14,14,0,13,8,0,0,5,
3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,2,2,0,0,0,0,0,0,0,0,0,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,9,1,8,3,2,1,3,3,0,0,0,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,2,0,2,5,4,1,5,2,0,1,2,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,1,0,1,11,11,0,9,6,0,2,1,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,3,0,3,4,1,3,1,0,0,0,1,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,2,0,2,3,1,2,1,1,0,0,0,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,0,0,0,2,2,0,2,2,0,0,0,
3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,3,1,2,5,4,1,3,1,0,0,2,
3173051002,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,2,1,1,4,3,1,1,1,0,0,0,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,5,3,2,2,2,0,2,1,0,0,1,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,4,2,2,2,2,0,2,2,0,0,0,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,1,0,1,3,2,1,3,0,1,0,2,
3173081003,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,5,2,3,2,1,1,1,1,0,0,0,
3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,3,1,2,3,3,0,2,1,0,0,1,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,3,1,2,7,5,2,4,4,0,0,0,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,2,2,0,2,2,0,2,0,0,0,2,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,3,0,3,3,1,2,0,0,0,0,0,
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,2,0,2,0,0,0,0,0,0,0,0,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,1,0,1,1,1,0,1,1,0,0,0,
3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,2,0,2,3,3,0,2,1,0,0,1,
3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,1,0,1,0,0,0,0,0,0,0,0,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,0,0,0,0,0,0,0,0,0,0,0,
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,0,0,0,1,0,1,0,0,0,0,0,
3173031002,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,0,0,0,0,0,0,0,0,0,0,0,
3173031005,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,0,0,0,0,0,0,0,0,0,0,0,
3173031003,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,0,0,0,0,0,0,0,0,0,0,0,
3173031008,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,PINANGSIA,0,0,0,0,0,0,0,0,0,0,0,
3173031001,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,1,0,1,2,1,1,0,0,0,0,0,
3173031004,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,2,0,2,1,1,0,1,1,0,0,0,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,2,0,2,0,0,0,0,0,0,0,0,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,0,0,0,0,0,0,0,0,0,0,0,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,0,0,0,0,0,0,0,0,0,0,0,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,1,0,1,0,0,0,0,0,0,0,0,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,0,0,0,1,1,0,0,0,0,0,0,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,0,0,0,0,0,0,0,0,0,0,0,
3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,0,0,0,0,0,0,0,0,0,0,0,
3173041009,DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,1,1,0,0,0,0,0,0,0,0,0,
3173041010,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,1,0,1,0,0,0,0,0,0,0,0,
3173041001,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TAMBORA,0,0,0,0,0,0,0,0,0,0,0,
3173041004,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,0,0,0,0,0,0,0,0,0,0,0,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,1,0,1,3,2,1,3,1,1,0,1,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,6,0,6,0,0,0,0,0,0,0,0,
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,7,2,5,2,1,1,0,0,0,0,0,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,1,0,1,0,0,0,0,0,0,0,0,
