id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,1004,96,908,206,120,86,179,147,2,12,18,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,265,66,199,153,108,45,82,49,4,7,22,
3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,57,52,5,3,3,0,4,3,1,0,0,
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,37,0,37,6,5,1,3,1,0,2,0,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,26,16,10,6,6,0,6,3,0,1,2,
3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,24,9,15,2,2,0,1,1,0,0,0,
3172021003,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,17,15,2,1,1,0,1,0,0,1,0,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,17,14,3,8,8,0,13,12,0,0,1,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,16,11,5,7,6,1,5,3,0,0,2,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,13,4,9,9,5,4,6,3,1,1,1,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,12,0,12,6,5,1,9,3,0,3,3,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,12,6,6,10,7,3,1,0,1,0,0,
3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,11,8,3,5,3,2,2,2,0,0,0,
3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,11,4,7,1,1,0,1,1,0,0,0,
3172011001,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,11,1,10,4,4,0,0,0,0,0,0,
3172041007,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,11,2,9,1,1,0,0,0,0,0,0,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,11,1,10,3,2,1,4,1,0,2,1,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,10,2,8,7,6,1,9,5,0,1,3,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,10,7,3,4,2,2,2,0,1,1,0,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,10,5,5,10,5,5,7,5,0,2,0,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,10,1,9,4,3,1,3,3,0,0,0,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,9,2,7,15,9,6,7,3,1,1,2,
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,9,1,8,6,6,0,3,3,0,0,0,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,9,4,5,1,1,0,1,1,0,0,0,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,8,2,6,3,3,0,3,2,0,1,0,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,8,1,7,6,2,4,0,0,0,0,0,
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,8,3,5,3,2,1,2,1,0,0,1,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,8,2,6,5,3,2,2,0,0,0,2,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,8,1,7,5,4,1,8,7,0,1,0,
