id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,2537,91,2446,2758,241,2517,711,620,13,26,52,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,1137,82,1055,904,216,688,547,309,43,41,154,
3171071004,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,9,2,7,18,13,5,73,5,1,1,66,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,27,14,13,25,16,9,51,33,2,5,11,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,14,1,13,6,5,1,39,18,1,4,16,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,3,1,2,12,11,1,36,11,8,3,14,
3173031003,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,12,0,12,4,3,1,36,34,0,0,2,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,33,15,18,23,16,7,35,13,6,2,14,
3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,8,4,4,4,2,2,31,12,0,2,17,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,9,0,9,12,10,2,29,10,6,4,9,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,16,3,13,8,7,1,28,12,0,7,9,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,15,2,13,17,11,6,28,20,1,3,4,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,11,1,10,13,11,2,27,18,1,3,5,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,12,1,11,9,6,3,25,13,1,1,10,
