id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,993,90,903,207,120,87,159,140,1,8,10,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,296,66,230,187,130,57,116,66,6,10,34,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,3,1,2,11,11,0,19,10,1,1,7,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,0,0,0,12,12,0,17,1,0,0,16,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,6,0,6,12,10,2,15,5,3,3,4,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,17,14,3,8,8,0,13,12,0,0,1,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,2,0,2,11,11,0,14,8,2,2,2,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,6,0,6,11,9,2,11,6,0,1,4,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,13,0,13,7,6,1,5,1,0,3,1,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,11,2,9,7,6,1,11,5,0,2,4,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,10,2,8,17,11,6,10,5,1,2,2,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,8,1,7,6,5,1,11,9,0,2,0,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,5,2,3,7,5,2,9,7,0,1,1,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,13,4,9,9,5,4,7,4,1,1,1,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,10,5,5,15,9,6,7,5,0,2,0,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,6,0,6,6,2,4,8,3,3,1,1,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,2,0,2,7,5,2,7,3,1,1,2,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,26,14,12,10,9,1,6,3,0,1,2,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,16,11,5,9,8,1,8,5,0,1,2,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,9,5,4,8,6,2,6,4,0,0,2,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,6,0,6,8,6,2,7,1,0,1,5,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,0,0,0,4,4,0,6,4,0,0,2,
3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,8,2,6,6,3,3,5,4,0,1,0,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,4,0,4,8,5,3,4,4,0,0,0,
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,3,1,2,2,2,0,5,2,1,1,1,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,3,0,3,1,0,1,5,4,0,1,0,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,1,0,1,2,2,0,5,4,0,1,0,
3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,56,50,6,3,3,0,4,3,1,0,0,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,11,1,10,4,3,1,8,5,0,2,1,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,5,1,4,8,5,3,4,3,0,0,1,
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,3,0,3,4,3,1,5,5,0,0,0,
3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,3,0,3,2,2,0,4,2,0,0,2,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,1,0,1,4,3,1,4,1,1,0,2,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,0,0,0,1,1,0,4,4,0,0,0,
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,37,0,37,6,5,1,3,1,0,2,0,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,10,1,9,4,3,1,3,3,0,0,0,
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,10,2,8,9,8,1,3,2,0,1,0,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,10,3,7,3,3,0,3,2,0,1,0,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,8,3,5,4,3,1,3,3,0,0,0,
3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,7,2,5,3,2,1,3,1,0,1,1,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,6,3,3,7,4,3,4,1,2,1,0,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,6,1,5,3,2,1,3,1,1,0,1,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,5,0,5,4,4,0,4,3,0,1,0,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,5,0,5,2,1,1,3,3,0,0,0,
3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,5,2,3,5,2,3,3,2,0,1,0,
3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,5,1,4,3,3,0,3,3,0,0,0,
3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,10,0,10,5,3,2,3,2,1,0,0,
3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,6,3,3,4,3,1,3,2,1,0,0,
