id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11689,2,11628,59,5312,11,3725,1576,1292,416,159,22,695,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,12891,251,12628,12,3285,148,3059,78,1833,36,1637,73,87,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,546,3,542,1,77,2,69,6,51,6,37,4,4,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,23,0,23,0,18,1,17,0,16,0,16,0,0,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,720,4,715,1,72,3,66,3,67,4,47,7,9,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,574,1,572,1,178,1,175,2,42,0,31,7,4,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,319,0,319,0,45,4,39,2,87,8,45,2,32,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,281,8,273,0,61,0,59,2,56,6,34,7,9,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,828,2,824,2,93,7,85,1,50,7,29,4,10,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,480,4,476,0,60,2,56,2,51,12,26,9,4,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,290,4,286,0,32,1,31,0,66,6,42,4,14,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,478,0,478,0,78,2,72,4,39,8,22,3,6,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,187,3,184,0,52,2,48,2,39,6,22,3,8,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,282,0,279,3,38,2,33,3,32,2,22,3,5,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,552,5,547,0,146,3,141,2,57,6,36,5,10,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,386,0,386,0,22,1,20,1,21,0,13,2,6,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,79,1,78,0,13,0,12,1,27,2,20,2,3,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,898,4,894,0,157,1,155,1,172,13,119,11,29,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,182,0,182,0,51,2,45,4,49,7,34,5,3,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,158,3,155,0,50,3,46,1,26,2,13,2,9,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,539,2,535,2,53,3,49,1,69,11,32,6,20,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,210,1,208,1,28,0,28,0,32,1,25,0,6,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,226,0,226,0,18,2,15,1,18,2,11,3,2,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,263,2,261,0,41,1,38,2,33,4,16,6,7,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,535,0,535,0,66,10,54,2,51,8,24,7,12,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,187,1,186,0,24,1,21,2,27,2,12,3,10,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,239,0,239,0,33,2,26,5,28,1,15,1,11,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,136,1,135,0,17,2,15,0,29,4,22,0,3,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,173,2,171,0,33,9,23,1,27,2,18,3,4,
3174071005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,25,0,24,1,7,0,7,0,7,0,6,1,0,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,186,3,183,0,25,1,23,1,38,4,22,1,11,
3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,293,3,287,3,45,1,43,1,54,10,28,3,13,
3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,301,5,296,0,32,0,32,0,36,3,25,2,6,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,314,1,313,0,22,3,14,5,34,1,22,4,7,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,196,1,194,1,36,3,31,2,27,7,12,4,4,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,148,0,148,0,19,2,16,1,16,1,12,2,1,
3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,768,5,762,1,121,7,113,1,74,9,34,9,22,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,744,7,736,1,95,4,90,1,54,9,31,5,9,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,90,2,88,0,22,0,22,0,25,2,17,1,5,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,330,0,329,1,53,1,49,3,50,4,28,5,13,
3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,232,2,230,0,26,1,23,2,39,5,21,4,9,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,156,3,153,0,32,1,31,0,28,1,15,2,10,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,238,2,236,0,38,2,35,1,24,3,13,2,6,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,340,1,339,0,25,0,23,2,25,3,16,0,6,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,163,0,163,0,37,3,29,5,45,5,19,5,16,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,160,1,159,0,30,2,25,3,31,3,19,1,8,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,444,3,440,1,48,7,41,0,44,3,23,4,14,
3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,277,2,275,0,24,0,21,3,15,1,3,1,10,
3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,320,5,315,0,79,4,75,0,44,1,24,4,15,
3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,205,0,205,0,57,5,50,2,27,7,12,2,6,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,310,0,310,0,34,1,30,3,24,2,16,1,5,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,289,2,287,0,27,1,24,2,54,5,30,8,11,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,275,0,275,0,40,2,38,0,30,1,25,1,3,
3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,1538,2,1534,2,92,4,86,2,175,19,75,12,69,
3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,97,0,97,0,33,0,33,0,14,1,7,3,3,
3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,192,0,192,0,32,5,25,2,30,2,22,3,3,
3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,313,1,309,3,61,4,55,2,49,2,30,3,14,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,266,0,265,1,43,7,32,4,33,3,12,3,15,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,288,1,286,1,52,2,43,7,67,8,25,4,30,
3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,280,4,276,0,35,5,29,1,24,2,11,3,8,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,410,0,409,1,59,1,51,7,38,3,18,5,12,
3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,801,3,798,0,129,0,128,1,36,4,19,4,9,
3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,352,0,352,0,49,1,44,4,22,2,15,1,4,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,475,1,474,0,40,3,31,6,56,5,25,3,23,
3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,261,2,258,1,59,2,57,0,45,4,23,4,14,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,375,6,369,0,65,10,55,0,22,9,5,4,4,
3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,424,1,423,0,51,1,50,0,81,4,45,4,28,
3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,140,2,138,0,30,5,22,3,27,2,15,2,8,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,205,4,201,0,49,4,44,1,15,2,7,0,6,
3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,232,1,231,0,26,0,26,0,26,3,19,1,3,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,307,3,304,0,90,9,81,0,29,2,13,1,13,
3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,422,2,419,1,78,1,77,0,35,3,18,1,13,
3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,598,3,595,0,84,1,78,5,108,10,22,9,67,
