id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,otg,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,4659,290,3505,864,3448,662,2786,539,192,33,2,312,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,6914,501,3287,3126,2331,385,1946,1523,371,589,71,492,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,134,0,35,99,63,3,60,50,10,33,4,3,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,6,0,3,3,13,0,13,17,0,16,0,1,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,444,4,61,379,47,2,45,57,10,25,7,15,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,163,0,46,117,70,1,69,37,6,18,4,9,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,135,2,45,88,31,2,29,46,8,30,1,7,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,175,2,136,37,34,1,33,44,7,24,5,8,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,250,1,70,179,69,5,64,43,9,22,5,7,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,161,0,51,110,34,0,34,44,7,21,9,7,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,136,3,84,49,14,0,14,57,10,29,4,14,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,168,0,105,63,64,2,62,30,6,15,3,6,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,69,4,32,33,34,2,32,27,4,13,3,7,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,87,0,40,47,23,3,20,27,2,15,3,7,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,183,0,54,129,64,2,62,52,5,33,3,11,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,80,1,35,44,13,0,13,18,2,9,2,5,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,36,0,10,26,11,1,10,24,3,18,2,1,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,541,6,101,434,142,8,134,158,27,46,11,74,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,71,0,36,35,42,1,41,42,9,14,4,15,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,84,1,36,47,32,3,29,21,3,10,3,5,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,265,0,35,230,43,9,34,41,11,16,4,10,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,82,1,17,64,20,0,20,27,4,19,0,4,
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,45,0,18,27,15,1,14,17,1,10,3,3,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,110,0,54,56,31,1,30,28,5,10,6,7,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,80,1,54,25,35,4,31,29,6,15,6,2,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,43,1,13,29,16,0,16,19,1,8,2,8,
