id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,5110,291,4819,3681,777,2904,560,228,31,2,299,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,7151,463,6688,2445,365,2080,1529,343,627,71,488,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,143,1,142,64,3,61,50,10,33,4,3,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,6,0,6,13,0,13,17,0,16,0,1,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,456,3,453,51,4,47,59,10,26,7,16,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,169,0,169,72,0,72,37,6,18,4,9,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,138,1,137,30,1,29,61,8,30,1,22,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,178,2,176,35,0,35,44,7,24,5,8,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,259,2,257,69,2,67,43,9,23,5,6,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,163,0,163,34,0,34,44,7,22,9,6,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,141,1,140,15,0,15,58,10,29,4,15,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,170,0,170,63,2,61,30,6,16,3,5,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,71,2,69,34,2,32,27,4,14,3,6,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,88,0,88,22,2,20,28,2,16,3,7,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,188,0,188,63,3,60,52,5,34,3,10,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,82,1,81,15,0,15,18,2,9,2,5,
