id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,105,2,0,0,103,0,0,0,0,5,0,5,249,4,245,4,39,2,33,0,4,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,183,2,1,1,179,0,0,0,0,0,0,0,273,7,266,22,45,4,29,2,10,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,56,3,0,0,53,0,0,0,0,2,0,2,90,6,84,22,22,1,16,1,4,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,33,0,0,1,32,0,0,0,0,0,0,0,25,0,25,0,6,0,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,104,0,1,1,102,0,0,0,0,2,0,2,108,5,103,14,26,4,16,0,6,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,87,0,0,2,85,0,0,0,0,18,0,18,364,24,340,6,26,1,20,2,3,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,50,1,0,1,48,0,0,0,0,2,0,2,56,4,52,6,14,0,8,0,6,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,119,5,1,0,113,1,0,1,0,1,0,1,194,20,174,24,35,1,26,3,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11211,0,0,1628,9583,1,0,0,1,124,0,124,6714,47,6667,82,2426,381,506,37,1502,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,126,5,19,0,102,0,0,0,0,2,0,2,209,2,207,4,29,0,26,1,2,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,44,1,0,3,40,0,0,0,0,0,0,0,87,9,78,21,65,2,45,7,11,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,306,5,10,2,289,1,0,0,1,7,0,7,568,111,457,17,63,1,41,6,15,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,88,1,2,3,82,1,0,0,1,13,0,13,183,7,176,8,36,0,22,5,9,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,73,0,3,2,68,0,0,0,0,13,0,13,249,2,247,8,21,0,18,2,1,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,79,0,1,1,77,0,0,0,0,0,0,0,200,21,179,33,24,2,14,1,7,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,70,5,3,2,60,0,0,0,0,3,0,3,202,14,188,24,21,1,16,0,4,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,60,2,3,0,55,0,0,0,0,2,1,1,103,23,80,11,33,1,26,1,5,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,64,1,0,0,63,0,0,0,0,0,0,0,59,8,51,8,8,1,3,0,4,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,162,3,2,1,156,0,0,0,0,3,0,3,151,10,141,24,70,5,38,7,20,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,375,8,4,1,362,0,0,0,0,7,0,7,872,117,755,35,133,3,54,7,69,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,224,3,1,1,219,0,0,0,0,7,0,7,726,71,655,39,105,2,69,1,33,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,84,3,2,1,78,0,0,0,0,4,0,4,461,32,429,6,43,4,34,2,3,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,117,1,0,6,110,1,0,0,1,3,0,3,482,20,462,7,70,6,49,6,9,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,177,2,3,4,168,0,0,0,0,13,7,6,761,120,641,74,36,4,22,2,8,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,109,6,0,1,102,0,0,0,0,7,0,7,185,12,173,11,37,0,18,3,16,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,136,2,0,1,133,0,0,0,0,9,0,9,135,5,130,6,29,5,11,1,12,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,160,1,0,3,156,0,0,0,0,0,0,0,140,14,126,3,30,1,21,2,6,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,40,0,1,0,39,0,0,0,0,0,0,0,95,38,57,8,14,1,8,1,4,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,25,0,0,0,25,0,0,0,0,3,0,3,60,5,55,0,12,0,9,1,2,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,226,0,0,4,222,0,0,0,0,88,0,88,429,14,415,37,60,3,36,3,18,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,75,2,0,1,72,0,0,0,0,17,0,17,89,8,81,6,18,1,10,2,5,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,100,0,0,1,99,0,0,0,0,0,0,0,104,4,100,17,21,0,16,0,5,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,78,4,7,1,66,0,0,0,0,1,0,1,169,32,137,38,26,2,16,2,6,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,139,2,10,1,126,0,0,0,0,3,1,2,372,29,343,57,61,0,40,1,20,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,125,1,0,2,122,0,0,0,0,2,0,2,127,10,117,7,27,0,20,1,6,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,131,1,0,0,130,1,0,0,1,0,0,0,104,7,97,5,23,5,16,0,2,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,87,3,0,1,83,0,0,0,0,41,0,41,140,6,134,3,14,0,5,4,5,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,99,1,0,3,95,0,0,0,0,9,0,9,149,6,143,5,23,2,16,2,3,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,56,2,1,2,51,0,0,0,0,3,0,3,236,24,212,22,37,3,20,3,11,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,56,0,1,1,54,0,0,0,0,1,0,1,103,9,94,4,21,0,16,1,4,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,43,0,0,0,43,0,0,0,0,3,0,3,220,10,210,12,47,0,39,2,6,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,67,5,0,2,60,0,0,0,0,1,0,1,67,4,63,6,11,0,9,1,1,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,66,2,1,2,61,0,0,0,0,2,0,2,166,22,144,11,33,1,23,4,5,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,83,3,0,1,79,0,0,0,0,3,0,3,184,8,176,25,46,0,38,1,7,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,80,4,1,4,71,0,0,0,0,6,1,5,279,12,267,4,48,1,36,3,8,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,166,4,3,9,150,0,0,0,0,9,0,9,441,27,414,40,46,0,34,5,7,
