id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,106,4,1,0,101,0,0,0,0,5,0,5,261,13,248,4,41,2,34,0,5,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,186,1,3,1,181,0,0,0,0,0,0,0,271,4,267,21,46,4,32,2,8,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,59,4,2,0,53,0,0,0,0,2,0,2,99,12,87,22,25,3,17,1,4,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,31,0,0,1,30,0,0,0,0,0,0,0,29,2,27,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,107,4,0,1,102,0,0,0,0,2,0,2,117,11,106,14,26,4,17,0,5,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,90,2,0,2,86,0,0,0,0,18,0,18,363,17,346,6,26,1,20,2,3,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,61,10,0,1,50,0,0,0,0,2,0,2,62,8,54,6,15,1,8,0,6,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,128,9,4,0,115,1,0,1,0,1,0,1,212,34,178,24,37,1,28,3,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11185,17,8,1627,9533,1,0,0,1,122,0,122,6701,124,6577,82,3086,593,795,51,1647,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,146,15,23,0,108,0,0,0,0,2,0,2,218,9,209,4,32,0,26,2,4,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,58,15,1,3,39,0,0,0,0,0,0,0,95,11,84,21,66,2,48,7,9,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,318,7,18,2,291,1,0,0,1,7,0,7,586,92,494,17,64,1,42,6,15,
