id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,151,6,39,0,106,0,0,0,0,6,1,5,291,38,253,4,0,4,43,4,35,0,4,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,190,2,6,2,180,0,0,0,0,0,0,0,286,13,273,22,0,22,47,4,35,2,6,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,68,6,7,1,54,0,0,0,0,2,0,2,127,38,89,22,0,22,27,3,18,1,5,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,32,0,0,1,31,0,0,0,0,0,0,0,31,3,28,0,0,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,111,4,1,1,105,0,0,0,0,2,0,2,133,21,112,14,0,14,38,3,19,0,16,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,91,3,0,2,86,0,0,0,0,18,0,18,372,16,356,6,0,6,29,4,22,2,1,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,61,10,0,1,50,0,0,0,0,2,0,2,64,9,55,7,0,7,16,1,11,0,4,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,131,7,4,0,120,1,0,1,0,1,0,1,226,39,187,26,0,26,38,0,30,3,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11149,11,8,1626,9504,272,0,271,1,120,0,120,6574,94,6480,89,1,88,3834,797,893,56,2088,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,166,17,16,0,133,0,0,0,0,2,0,2,222,11,211,4,0,4,32,0,27,2,3,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,71,15,5,3,48,0,0,0,0,0,0,0,139,43,96,21,0,21,69,1,50,7,11,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,333,7,30,2,294,1,0,0,1,7,0,7,630,116,514,17,0,17,67,3,47,6,11,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,89,1,4,3,81,1,0,0,1,13,0,13,202,22,180,8,0,8,37,1,25,5,6,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,79,3,3,2,71,0,0,0,0,13,0,13,254,5,249,8,0,8,24,2,17,2,3,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,85,0,4,1,80,0,0,0,0,0,0,0,209,13,196,33,0,33,28,4,15,1,8,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,80,5,4,2,69,0,0,0,0,3,0,3,225,25,200,24,0,24,33,3,18,0,12,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,80,2,21,0,57,0,0,0,0,4,3,1,213,123,90,11,0,11,36,2,28,1,5,
