id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,163,8,45,0,110,0,0,0,7,2,5,308,37,271,4,0,4,44,4,37,0,3,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,200,4,7,2,187,0,0,0,0,0,0,293,14,279,22,0,22,49,6,35,2,6,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,74,10,8,1,55,0,0,0,3,1,2,167,72,95,22,0,22,31,3,21,1,6,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,34,0,0,1,33,0,0,0,0,0,0,32,1,31,0,0,0,7,1,4,1,1,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,111,0,1,1,109,0,0,0,2,0,2,145,29,116,14,0,14,42,3,19,0,20,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,91,1,0,2,88,0,0,0,18,0,18,373,7,366,6,0,6,30,5,23,2,0,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,63,1,0,1,61,0,0,0,2,0,2,74,13,61,7,0,7,16,1,13,0,2,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,143,6,10,0,127,1,1,0,1,0,1,294,88,206,26,0,26,41,0,30,3,8,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,11126,0,0,1626,9500,559,558,1,116,0,116,6177,20,6157,87,1,86,4643,1118,1111,79,2335,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,182,13,17,0,152,0,0,0,2,0,2,228,10,218,4,0,4,34,1,28,2,3,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,78,4,3,3,68,0,0,0,0,0,0,147,26,121,21,0,21,68,1,50,7,10,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,356,5,45,2,304,1,0,1,7,0,7,644,72,572,17,0,17,71,5,55,6,5,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,92,1,2,3,86,1,0,1,13,0,13,207,17,190,8,0,8,39,2,25,6,6,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,85,2,8,2,73,0,0,0,13,0,13,272,23,249,8,0,8,24,2,18,2,2,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,86,0,4,1,81,0,0,0,0,0,0,220,20,200,33,0,33,35,4,17,1,13,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,83,3,4,2,74,0,0,0,3,0,3,234,28,206,24,0,24,35,4,20,0,11,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,81,2,10,0,69,0,0,0,4,2,2,220,76,144,11,0,11,38,3,30,1,4,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,71,2,0,0,69,0,0,0,0,0,0,66,5,61,8,0,8,9,1,6,0,2,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,201,5,16,2,178,0,0,0,7,3,4,221,46,175,25,0,25,97,0,50,7,40,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,413,12,6,2,393,0,0,0,7,0,7,997,75,922,37,0,37,168,7,71,8,82,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,246,10,6,1,229,0,0,0,7,0,7,772,38,734,40,0,40,118,4,86,1,27,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,104,5,11,1,87,0,0,0,4,0,4,512,39,473,7,0,7,57,9,42,2,4,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,142,9,4,6,123,1,0,1,3,0,3,545,35,510,7,0,7,105,14,61,6,24,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,202,5,5,4,188,0,0,0,18,5,13,921,85,836,74,0,74,48,2,32,2,12,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,119,9,0,2,108,0,0,0,7,0,7,196,3,193,9,0,9,40,3,27,3,7,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,301,10,152,1,138,0,0,0,9,0,9,145,6,139,6,0,6,37,1,20,3,13,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,183,1,1,3,178,0,0,0,1,0,1,196,23,173,3,0,3,47,2,24,3,18,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,44,1,0,0,43,0,0,0,0,0,0,112,10,102,10,0,10,14,0,12,1,1,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,40,1,2,0,37,0,0,0,12,0,12,129,8,121,0,0,0,15,0,11,1,3,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,246,7,4,5,230,0,0,0,88,0,88,452,12,440,36,0,36,72,9,49,3,11,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,90,5,8,1,76,0,0,0,17,0,17,147,52,95,5,0,5,21,3,12,2,4,
