id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,12305,2,12244,59,5314,5,3749,1560,1751,149,464,27,1111,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,15280,210,15058,12,3436,148,3210,78,2001,18,1763,77,143,
3173061005,DKI JAKARTA,JAKARTA BARAT,KALI DERES,PEGADUNGAN,597,6,590,1,84,2,76,6,54,4,43,4,3,
3174071006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,23,0,23,0,18,1,17,0,16,0,16,0,0,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,772,3,768,1,76,5,68,3,79,1,50,7,21,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,607,2,604,1,181,2,177,2,47,0,34,7,6,
3173021003,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,333,0,333,0,46,1,43,2,93,2,74,2,15,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,339,4,335,0,64,2,60,2,61,1,43,7,10,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,1065,4,1059,2,96,2,91,3,58,1,45,4,8,
3174051002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,512,5,507,0,65,6,57,2,51,4,33,9,5,
3175071004,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,314,4,310,0,35,2,33,0,69,3,56,4,6,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,564,1,563,0,81,2,75,4,44,4,27,3,10,
3173081004,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,215,2,213,0,52,0,50,2,45,0,34,3,8,
3174011003,DKI JAKARTA,JAKARTA SELATAN,TEBET,MENTENG DALAM,319,0,316,3,38,1,34,3,36,1,26,3,6,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,587,4,583,0,149,3,144,2,58,3,43,5,7,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,411,0,411,0,24,1,22,1,22,0,17,2,3,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,90,2,88,0,16,2,12,2,31,1,21,2,7,
3172021006,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,1017,3,1014,0,159,2,156,1,176,3,151,11,11,
3172011005,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,224,0,224,0,52,2,46,4,52,4,38,5,5,
3174091005,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,183,4,179,0,52,0,51,1,32,1,19,2,10,
