id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,283,4,25,0,254,1,0,0,0,1,8,0,0,8,444,41,403,5,0,5,129,9,95,5,20,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,284,5,9,2,268,1,0,0,1,0,0,0,0,0,394,10,384,24,0,24,100,12,80,4,4,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,156,6,15,1,134,1,0,0,0,1,4,0,1,3,340,52,288,23,0,23,68,2,63,0,3,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,63,3,7,1,52,0,0,0,0,0,0,0,0,0,61,11,50,2,0,2,16,2,12,2,0,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,184,11,20,1,152,0,0,0,0,0,3,0,0,3,278,48,230,15,0,15,66,2,61,3,0,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,116,0,7,2,107,4,0,0,1,3,18,0,0,18,461,25,436,8,0,8,65,2,52,1,10,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,164,2,30,1,131,0,0,0,0,0,4,0,1,3,250,17,233,10,0,10,52,5,34,0,13,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,269,7,39,1,222,2,1,0,0,1,2,0,1,1,558,83,475,25,0,25,77,2,66,4,5,
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,10883,24,21,1690,9148,1511,0,0,1509,2,105,0,0,105,5491,163,5328,73,1,72,13833,2339,7844,267,3383,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,276,11,23,0,242,0,0,0,0,0,3,0,0,3,312,14,298,5,0,5,70,6,55,1,8,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,196,6,24,3,163,0,0,0,0,0,1,0,0,1,237,32,205,23,0,23,130,3,117,6,4,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,469,1,39,2,427,4,0,0,0,4,7,0,0,7,959,42,917,20,0,20,110,6,90,6,8,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,136,6,12,3,115,1,0,0,0,1,13,0,0,13,325,40,285,11,0,11,59,1,53,2,3,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,143,1,14,2,126,1,0,0,0,1,13,0,0,13,401,17,384,9,0,9,101,1,83,1,16,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,148,9,15,1,123,0,0,0,0,0,0,0,0,0,447,69,378,35,0,35,96,2,92,1,1,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,176,14,20,2,140,2,1,0,1,0,3,0,0,3,452,90,362,26,0,26,83,4,64,2,13,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,163,6,20,0,137,1,0,0,0,1,4,0,0,4,384,56,328,13,0,13,92,11,64,4,13,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,119,6,13,0,100,0,0,0,0,0,0,0,0,0,122,32,90,8,0,8,20,4,15,0,1,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,366,22,37,2,305,1,1,0,0,0,7,0,0,7,408,90,318,29,0,29,204,6,166,9,23,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,595,9,24,2,560,2,2,0,0,0,9,0,0,9,1364,96,1268,41,0,41,358,11,303,14,30,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,400,9,18,1,372,0,0,0,0,0,9,0,0,9,977,44,933,45,0,45,204,4,154,7,39,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,286,6,43,1,236,0,0,0,0,0,5,0,0,5,737,82,655,9,0,9,110,14,75,5,16,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,411,8,59,7,337,1,0,0,0,1,3,0,0,3,926,149,777,14,0,14,238,22,172,6,38,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,414,14,67,4,329,1,0,0,0,1,28,0,3,25,1392,115,1277,81,0,81,108,8,85,3,12,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,185,4,13,2,166,0,0,0,0,0,8,0,0,8,362,61,301,11,0,11,85,5,67,4,9,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,451,12,21,1,417,2,0,0,0,2,9,0,0,9,328,63,265,8,0,8,78,4,68,3,3,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,357,14,37,3,303,0,0,0,0,0,1,0,0,1,345,49,296,4,0,4,98,5,75,3,15,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,91,4,13,0,74,0,0,0,0,0,0,0,0,0,146,20,126,11,0,11,23,0,18,2,3,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,133,1,27,0,105,0,0,0,0,0,10,0,0,10,200,7,193,0,0,0,34,1,30,1,2,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,413,20,50,5,338,0,0,0,0,0,92,0,0,92,649,94,555,36,0,36,108,2,82,5,19,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,183,36,11,1,135,3,2,0,0,1,17,0,0,17,265,27,238,80,0,80,125,8,105,5,7,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,184,7,11,1,165,0,0,0,0,0,1,0,0,1,263,64,199,18,0,18,57,1,47,0,9,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,171,6,18,1,146,0,0,0,0,0,4,0,1,3,476,52,424,41,0,41,110,5,88,0,17,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,300,16,27,1,256,0,0,0,0,0,5,0,1,4,933,80,853,63,0,63,224,15,187,6,16,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,236,7,15,2,212,1,0,0,1,0,4,0,0,4,254,43,211,10,0,10,85,1,79,1,4,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,371,22,16,0,333,2,0,0,0,2,0,0,0,0,248,54,194,5,0,5,54,2,39,2,11,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,151,9,10,1,131,1,1,0,0,0,44,0,0,44,249,36,213,5,0,5,33,1,23,5,4,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,324,9,73,3,239,0,0,0,0,0,9,0,0,9,315,27,288,5,0,5,51,3,41,3,4,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,152,11,15,2,124,0,0,0,0,0,3,0,0,3,566,106,460,28,0,28,166,8,127,6,25,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,135,9,11,2,113,1,0,0,0,1,1,0,0,1,234,59,175,9,0,9,52,1,46,1,4,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,154,11,28,0,115,1,0,0,0,1,3,0,0,3,350,34,316,16,0,16,94,6,83,3,2,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,141,5,15,2,119,0,0,0,0,0,2,0,0,2,197,44,153,10,0,10,39,1,37,1,0,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,179,4,42,2,131,1,0,0,0,1,3,0,1,2,431,91,340,15,0,15,93,1,82,4,6,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,201,5,27,1,168,4,0,0,0,4,4,0,0,4,419,69,350,22,0,22,111,7,92,1,11,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,168,8,14,4,142,4,2,0,0,2,6,0,0,6,406,16,390,5,0,5,108,1,95,5,7,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,404,15,46,9,334,1,0,0,0,1,22,0,0,22,1092,103,989,42,0,42,145,10,107,7,21,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,131,5,7,1,118,0,0,0,0,0,1,0,0,1,336,41,295,13,0,13,65,8,45,0,12,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,573,17,43,3,510,12,2,0,0,10,2,0,0,2,561,84,477,18,0,18,280,21,191,9,59,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,232,8,20,0,204,1,0,0,0,1,3,0,0,3,371,24,347,2,0,2,48,7,31,0,10,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,252,10,32,2,208,3,0,0,0,3,12,0,0,12,749,78,671,65,0,65,176,6,155,5,10,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,287,10,35,3,239,0,0,0,0,0,4,0,0,4,560,79,481,10,0,10,112,5,83,7,17,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,106,5,4,3,94,0,0,0,0,0,0,0,0,0,238,46,192,7,0,7,73,5,52,4,12,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,92,6,5,1,80,0,0,0,0,0,2,0,0,2,101,11,90,3,0,3,52,5,40,3,4,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,119,3,17,2,97,0,0,0,0,0,1,0,0,1,153,16,137,2,0,2,63,10,42,1,10,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,125,6,10,0,109,1,0,0,0,1,2,0,0,2,284,12,272,43,0,43,127,5,100,4,18,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,58,3,6,0,49,1,1,0,0,0,17,0,0,17,215,24,191,6,0,6,76,3,53,1,19,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,119,6,7,0,106,2,0,0,0,2,20,0,0,20,418,44,374,2,0,2,66,2,47,4,13,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,253,13,28,2,210,0,0,0,0,0,3,0,0,3,413,31,382,1,0,1,76,7,62,1,6,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,462,12,31,0,419,0,0,0,0,0,3,0,1,2,211,23,188,22,0,22,96,3,86,4,3,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,37,1,0,1,35,0,0,0,0,0,5,0,0,5,74,5,69,0,0,0,50,0,43,4,3,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,61,3,12,0,46,0,0,0,0,0,0,0,0,0,104,16,88,0,0,0,11,2,7,1,1,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,38,1,3,1,33,0,0,0,0,0,4,0,0,4,86,8,78,7,0,7,36,1,23,3,9,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,212,7,26,4,175,1,0,0,0,1,39,0,0,39,505,41,464,31,0,31,89,8,67,2,12,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,194,5,23,5,161,0,0,0,0,0,12,0,0,12,438,17,421,4,0,4,97,8,81,3,5,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,221,8,34,4,175,0,0,0,0,0,24,0,0,24,442,33,409,13,0,13,135,6,113,4,12,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,41,1,7,0,33,0,0,0,0,0,1,0,0,1,117,39,78,1,0,1,17,2,14,0,1,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,130,3,71,3,53,0,0,0,0,0,7,0,0,7,246,32,214,0,0,0,28,1,18,1,8,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,184,3,20,1,160,0,0,0,0,0,2,0,0,2,251,38,213,1,0,1,69,3,51,1,14,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,172,4,16,1,151,0,0,0,0,0,5,0,0,5,343,56,287,8,0,8,61,2,36,5,18,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,126,11,15,2,98,0,0,0,0,0,4,0,2,2,294,27,267,9,0,9,133,10,96,3,24,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,222,10,22,3,187,0,0,0,0,0,6,0,0,6,291,37,254,26,0,26,130,3,118,6,3,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,566,21,24,2,519,3,1,0,0,2,7,0,0,7,544,97,447,11,0,11,151,4,136,5,6,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,202,7,59,1,135,0,0,0,0,0,6,0,0,6,606,76,530,23,0,23,126,14,89,2,21,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,210,11,20,2,177,0,0,0,0,0,3,0,1,2,395,36,359,61,0,61,58,3,49,2,4,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,288,3,26,4,255,0,0,0,0,0,3,0,0,3,510,57,453,61,0,61,147,6,133,3,5,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,267,12,32,3,220,0,0,0,0,0,2,0,0,2,731,158,573,34,0,34,156,6,110,5,35,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,47,3,3,0,41,1,0,0,1,0,3,0,0,3,188,49,139,6,0,6,21,4,15,0,2,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,210,7,21,5,177,2,0,0,0,2,24,0,0,24,518,41,477,7,0,7,96,7,79,3,7,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,248,4,11,2,231,1,0,0,0,1,4,0,0,4,431,15,416,17,0,17,48,2,38,3,5,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,425,10,16,1,398,0,0,0,0,0,4,0,0,4,400,16,384,7,0,7,158,5,143,4,6,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,121,5,3,0,113,0,0,0,0,0,0,0,0,0,157,20,137,1,0,1,38,2,27,2,7,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,183,9,26,4,144,0,0,0,0,0,4,0,0,4,339,44,295,12,0,12,66,4,59,0,3,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,384,14,39,3,328,1,1,0,0,0,3,0,0,3,1074,106,968,92,0,92,265,8,241,8,8,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,247,5,32,0,210,0,0,0,0,0,3,0,0,3,284,17,267,9,0,9,122,4,92,5,21,
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,261,30,27,5,199,0,0,0,0,0,4,0,0,4,520,30,490,33,0,33,231,6,204,4,17,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,317,11,33,3,270,3,1,0,0,2,8,0,0,8,480,64,416,12,0,12,135,4,111,0,20,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,630,17,64,4,545,1,1,0,0,0,5,0,0,5,1535,102,1433,28,0,28,171,19,129,5,18,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,526,4,40,0,482,0,0,0,0,0,2,0,0,2,266,28,238,7,0,7,84,2,75,4,3,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,228,3,24,3,198,0,0,0,0,0,1,0,0,1,376,18,358,3,0,3,32,1,19,2,10,
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,51,1,2,0,48,0,0,0,0,0,4,0,0,4,87,18,69,0,0,0,36,2,20,1,13,
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,109,8,9,2,90,1,0,0,0,1,2,0,0,2,131,10,121,2,0,2,31,4,25,2,0,
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,124,16,19,5,84,1,0,0,0,1,4,0,0,4,147,36,111,4,0,4,123,3,110,2,8,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,200,4,16,0,180,1,0,0,0,1,0,0,0,0,462,33,429,63,0,63,163,4,143,13,3,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,347,11,39,1,296,1,0,0,0,1,8,0,1,7,780,82,698,48,0,48,168,9,137,7,15,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,391,21,56,16,298,0,0,0,0,0,9,0,2,7,895,180,715,11,0,11,165,19,103,5,38,
3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,120,8,2,0,110,0,0,0,0,0,9,0,0,9,294,81,213,17,0,17,78,9,62,3,4,
3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,325,9,15,5,296,1,0,0,0,1,4,0,0,4,632,55,577,8,0,8,98,7,79,4,8,
3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,90,4,7,0,79,0,0,0,0,0,10,0,0,10,275,26,249,4,0,4,41,3,36,0,2,
3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,132,4,20,1,107,0,0,0,0,0,21,0,0,21,242,24,218,4,0,4,39,1,26,3,9,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,41,0,1,1,39,0,0,0,0,0,3,0,0,3,63,17,46,0,0,0,11,2,6,2,1,
3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,174,3,4,0,167,0,0,0,0,0,7,0,0,7,202,26,176,0,0,0,50,6,40,1,3,
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,222,2,9,1,210,1,0,0,0,1,0,0,0,0,456,43,413,15,0,15,121,2,101,2,16,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,187,10,13,0,164,1,0,0,0,1,0,0,0,0,452,51,401,23,0,23,77,2,71,3,1,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,268,6,19,4,239,1,0,0,1,0,11,0,0,11,756,63,693,25,0,25,149,2,136,3,8,
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,192,4,39,0,149,0,0,0,0,0,2,0,0,2,319,33,286,9,0,9,74,6,55,1,12,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,280,9,65,1,205,1,0,0,0,1,1,0,0,1,434,42,392,24,0,24,60,1,59,0,0,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,314,17,17,0,280,4,1,0,0,3,1,0,0,1,628,21,607,10,0,10,114,9,98,5,2,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,196,2,20,1,173,0,0,0,0,0,15,0,0,15,362,15,347,3,0,3,69,0,54,6,9,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,162,4,34,2,122,0,0,0,0,0,15,0,0,15,420,50,370,16,0,16,58,2,47,0,9,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,416,14,58,1,343,0,0,0,0,0,13,0,0,13,757,92,665,52,0,52,231,6,207,3,15,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,345,14,41,6,284,0,0,0,0,0,13,0,0,13,1114,96,1018,53,0,53,196,16,140,10,30,
