id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,isolasi di rumah,probable meninggal,selesai isolasi,pelaku perjalanan,perawatan rs,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,332,0,40,0,292,4,2,0,0,2,9,0,1,8,474,28,446,6,0,6,161,8,116,2,35,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,304,1,8,2,293,1,0,0,1,0,0,0,0,0,404,7,397,25,0,25,110,2,95,2,11,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,185,7,18,1,159,1,0,0,0,1,5,0,1,4,365,21,344,23,0,23,88,8,70,1,9,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,71,0,6,1,64,0,0,0,0,0,0,0,0,0,76,16,60,2,0,2,20,2,14,1,3,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,211,8,17,1,185,0,0,0,0,0,3,0,0,3,329,50,279,16,0,16,82,7,63,1,11,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,153,11,23,2,117,4,0,0,1,3,18,0,0,18,493,32,461,8,0,8,94,8,63,2,21,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,193,2,14,1,176,0,0,0,0,0,4,0,0,4,278,27,251,12,0,12,68,5,59,0,4,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,299,5,17,1,276,2,0,0,0,2,2,0,0,2,625,64,561,25,0,25,107,10,76,3,18,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,296,5,10,0,281,0,0,0,0,0,3,0,0,3,361,22,339,6,0,6,105,18,65,2,20,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,218,3,18,3,194,0,0,0,0,0,1,0,0,1,269,32,237,29,0,29,153,5,121,9,18,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,515,7,29,2,477,4,0,0,0,4,9,0,1,8,1042,82,960,22,0,22,150,8,104,6,32,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,220,1,66,3,150,1,0,0,0,1,13,0,0,13,388,30,358,12,0,12,86,5,54,7,20,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,162,5,10,2,145,1,0,0,0,1,13,0,0,13,416,13,403,9,0,9,118,15,89,2,12,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,172,8,17,1,146,0,0,0,0,0,0,0,0,0,473,37,436,38,0,38,121,2,88,2,29,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,215,7,26,2,180,2,0,0,1,1,5,0,2,3,519,63,456,30,0,30,124,12,81,1,30,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,194,6,22,0,166,1,0,0,0,1,4,0,0,4,450,69,381,13,0,13,114,12,83,3,16,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,133,1,10,0,122,0,0,0,0,0,0,0,0,0,188,50,138,8,0,8,42,11,23,0,8,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,420,8,33,2,377,1,0,0,0,1,7,0,0,7,548,132,416,31,0,31,217,6,191,11,9,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,650,11,26,2,611,2,1,0,0,1,11,0,2,9,1409,32,1377,46,0,46,417,26,333,10,48,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,432,6,12,1,413,0,0,0,0,0,9,0,0,9,1023,41,982,50,0,50,244,4,194,3,43,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,370,8,70,1,291,0,0,0,0,0,5,0,0,5,843,109,734,11,0,11,185,23,115,4,43,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,520,12,91,7,410,1,0,0,0,1,3,0,0,3,1121,210,911,14,0,14,314,23,228,8,55,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,494,10,49,4,431,1,0,0,0,1,30,0,2,28,1492,91,1401,82,0,82,160,10,120,4,26,
3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,196,1,6,2,187,0,0,0,0,0,8,0,0,8,401,38,363,12,0,12,133,8,91,5,29,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,481,6,19,1,455,2,0,0,0,2,11,0,1,10,372,45,327,10,0,10,86,3,72,4,7,
3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,416,7,29,3,377,0,0,0,0,0,1,0,0,1,384,24,360,4,0,4,129,11,101,5,12,
3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,97,1,6,0,90,0,0,0,0,0,0,0,0,0,157,10,147,11,0,11,28,3,22,2,1,
3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,141,4,10,0,127,1,0,0,0,1,10,0,0,10,218,14,204,0,0,0,45,7,32,1,5,
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,495,11,48,5,431,1,0,0,0,1,95,0,1,94,882,202,680,36,0,36,143,3,117,5,18,
3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,268,18,53,1,196,4,1,0,0,3,17,0,0,17,290,24,266,86,0,86,164,7,132,5,20,
3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,211,2,11,1,197,0,0,0,0,0,2,0,0,2,325,53,272,18,0,18,90,9,61,0,20,
3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,200,4,25,1,170,0,0,0,0,0,5,0,1,4,533,65,468,42,0,42,131,11,101,3,16,
3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,345,11,32,1,301,0,0,0,0,0,6,0,1,5,990,55,935,69,0,69,267,6,230,5,26,
3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,283,13,20,2,248,2,1,0,1,0,4,0,0,4,320,54,266,21,0,21,115,7,90,2,16,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,401,5,22,0,374,2,0,0,0,2,0,0,0,0,284,28,256,6,0,6,77,5,52,1,19,
3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,173,6,16,1,150,2,0,0,0,2,44,0,0,44,273,24,249,6,0,6,41,3,27,6,5,
3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,363,5,30,3,325,0,0,0,0,0,9,0,0,9,336,16,320,5,0,5,75,8,52,3,12,
3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,198,2,32,2,162,0,0,0,0,0,3,0,0,3,628,62,566,32,0,32,180,17,142,6,15,
3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,165,5,11,2,147,2,0,0,0,2,1,0,0,1,278,45,233,12,0,12,82,5,57,1,19,
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,228,18,45,0,165,1,0,0,0,1,3,0,0,3,415,62,353,16,0,16,162,8,86,3,65,
3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,161,0,12,2,147,0,0,0,0,0,2,0,0,2,256,50,206,11,0,11,62,6,40,1,15,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,214,9,9,2,194,1,0,0,0,1,3,0,1,2,509,66,443,16,0,16,138,7,102,5,24,
3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,241,8,21,1,211,4,0,0,0,4,5,0,0,5,515,90,425,24,0,24,150,10,107,3,30,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,198,10,13,4,171,4,0,0,0,4,6,0,0,6,425,14,411,5,0,5,125,4,99,4,18,
3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,487,7,58,9,413,3,2,0,0,1,22,0,0,22,1180,59,1121,43,0,43,223,21,145,7,50,
3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,164,7,19,1,137,0,0,0,0,0,1,0,0,1,383,49,334,13,0,13,73,4,57,1,11,
3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,630,12,23,3,592,14,2,0,0,12,2,0,0,2,684,107,577,22,0,22,333,9,264,9,51,
3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,265,6,16,0,243,2,0,0,0,2,3,0,0,3,409,36,373,2,0,2,72,10,49,0,13,
3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,306,4,36,2,264,3,0,0,0,3,12,0,0,12,862,95,767,66,0,66,221,19,162,8,32,
3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,349,8,46,3,292,0,0,0,0,0,4,0,0,4,672,106,566,10,0,10,158,15,105,4,34,
3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,119,5,6,3,105,0,0,0,0,0,0,0,0,0,266,31,235,7,0,7,103,8,74,4,17,
3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,94,0,2,1,91,0,0,0,0,0,2,0,0,2,106,5,101,4,0,4,53,3,42,3,5,
3173041003,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI UTARA,131,0,10,2,119,1,1,0,0,0,1,0,0,1,162,9,153,2,0,2,74,2,62,3,7,
3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,134,1,1,0,132,2,1,0,0,1,2,0,0,2,321,9,312,44,0,44,149,3,104,9,33,
3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,64,1,3,0,60,1,1,0,0,0,17,0,0,17,239,17,222,6,0,6,118,2,85,0,31,
3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,138,6,9,0,123,2,0,0,0,2,20,0,0,20,494,62,432,2,0,2,76,4,66,3,3,
3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,331,8,57,2,264,0,0,0,0,0,3,0,0,3,450,31,419,5,0,5,95,5,76,2,12,
3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,498,11,12,0,475,0,0,0,0,0,4,0,0,4,242,26,216,22,0,22,120,13,100,2,5,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,46,0,1,1,44,0,0,0,0,0,5,0,0,5,76,1,75,0,0,0,90,0,53,2,35,
3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,75,1,12,0,62,0,0,0,0,0,1,0,0,1,113,9,104,0,0,0,15,0,10,1,4,
3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,43,0,2,1,40,0,0,0,0,0,4,0,0,4,91,5,86,7,0,7,43,1,27,3,12,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,276,4,49,4,219,1,0,0,0,1,39,0,0,39,577,73,504,32,0,32,106,7,82,0,17,
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,218,6,12,5,195,0,0,0,0,0,12,0,0,12,458,16,442,5,0,5,119,7,91,5,16,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,250,2,15,4,229,0,0,0,0,0,24,0,0,24,462,18,444,15,0,15,174,10,132,6,26,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,43,0,2,0,41,0,0,0,0,0,1,0,0,1,123,8,115,1,0,1,21,1,18,0,2,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,182,0,49,3,130,0,0,0,0,0,7,0,0,7,265,5,260,0,0,0,50,1,26,2,21,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,208,4,20,1,183,0,0,0,0,0,2,0,0,2,294,41,253,1,0,1,73,5,55,3,10,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,182,2,7,1,172,0,0,0,0,0,5,0,0,5,390,46,344,8,0,8,111,8,65,7,31,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,148,8,7,2,131,0,0,0,0,0,5,0,1,4,348,50,298,9,0,9,180,22,132,4,22,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,249,3,13,3,230,0,0,0,0,0,6,0,0,6,354,51,303,28,0,28,158,12,129,7,10,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,639,18,40,2,579,6,1,0,0,5,7,0,0,7,657,107,550,17,0,17,209,5,157,3,44,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,250,11,24,1,214,0,0,0,0,0,7,0,0,7,664,58,606,28,0,28,159,9,126,1,23,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,293,8,56,2,227,0,0,0,0,0,3,0,0,3,436,38,398,66,0,66,79,5,59,3,12,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,339,2,44,4,289,1,0,0,0,1,3,0,0,3,557,45,512,61,0,61,184,10,146,2,26,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,321,7,42,3,269,1,0,0,0,1,2,0,0,2,862,129,733,37,0,37,225,14,151,6,54,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,69,1,15,0,53,1,0,0,1,0,3,0,0,3,222,26,196,6,0,6,36,5,19,1,11,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,266,1,38,5,222,2,0,0,0,2,24,0,0,24,547,21,526,11,0,11,118,11,91,5,11,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,276,2,25,2,247,2,0,0,0,2,4,0,0,4,452,20,432,17,0,17,83,20,48,3,12,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,443,6,9,1,427,0,0,0,0,0,4,0,0,4,413,13,400,7,0,7,165,5,140,6,14,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,134,0,8,0,126,0,0,0,0,0,0,0,0,0,163,7,156,1,0,1,59,5,38,4,12,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,218,4,27,4,183,0,0,0,0,0,4,0,0,4,403,67,336,12,0,12,101,13,66,1,21,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,434,6,18,3,407,1,0,0,0,1,4,0,1,3,1210,65,1145,94,0,94,323,11,277,12,23,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,266,3,9,0,254,1,0,0,0,1,3,0,0,3,299,11,288,10,0,10,131,10,104,4,13,
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,308,20,26,5,257,0,0,0,0,0,4,0,0,4,547,24,523,34,0,34,217,3,190,6,18,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,361,15,14,4,328,6,1,0,0,5,11,0,3,8,581,80,501,12,0,12,198,9,150,2,37,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,726,26,61,4,635,1,0,0,0,1,5,0,0,5,1674,135,1539,29,0,29,194,7,159,4,24,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,606,12,31,0,563,0,0,0,0,0,3,0,0,3,320,48,272,9,0,9,113,10,87,3,13,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,255,6,33,3,213,0,0,0,0,0,1,0,0,1,437,58,379,4,0,4,31,3,21,3,4,
3172011002,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,56,4,1,0,51,0,0,0,0,0,4,0,0,4,102,15,87,0,0,0,58,18,27,2,11,
3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,112,0,2,2,108,1,0,0,0,1,2,0,0,2,145,4,141,2,0,2,48,8,27,2,11,
3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,145,4,17,5,119,2,1,0,0,1,4,0,0,4,166,11,155,4,0,4,119,7,99,3,10,
3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,221,5,4,0,212,1,0,0,0,1,0,0,0,0,508,16,492,63,0,63,202,4,144,13,41,
3175041002,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KAMPUNG TENGAH,380,10,20,1,349,1,0,0,0,1,9,0,1,8,847,62,785,49,0,49,196,5,165,9,17,
