id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,isolasi_di_rumah,probable_meninggal,selesai_isolasi,pelaku_perjalanan,perawatan_rs,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,350,0,31,0,319,4,0,0,0,4,9,0,1,8,491,30,461,7,0,7,168,6,127,2,33,
3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,324,4,21,2,297,1,0,0,1,0,0,0,0,0,413,11,402,25,0,25,115,6,95,2,12,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,192,7,13,1,171,1,0,0,0,1,5,0,0,5,380,30,350,23,0,23,93,5,75,1,12,
3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,81,1,7,1,72,0,0,0,0,0,0,0,0,0,83,18,65,3,0,3,24,3,15,1,5,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,232,9,23,1,199,0,0,0,0,0,3,0,0,3,368,58,310,17,0,17,85,7,70,1,7,
3174031002,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,163,1,21,2,139,4,0,0,1,3,18,0,0,18,514,40,474,8,0,8,105,7,76,2,20,
3175051002,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,209,0,16,1,192,0,0,0,0,0,4,0,0,4,298,29,269,15,0,15,77,2,64,0,11,
3175041004,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,312,3,22,1,286,2,0,0,0,2,2,0,0,2,664,64,600,25,0,25,122,9,85,3,25,
3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,312,5,16,0,291,0,0,0,0,0,3,0,0,3,379,28,351,8,0,8,118,20,71,2,25,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,227,2,17,3,205,0,0,0,0,0,1,0,0,1,279,34,245,29,0,29,179,2,128,9,40,
3174101002,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,526,4,28,2,492,4,0,0,0,4,9,0,1,8,1093,84,1009,22,0,22,162,5,115,6,36,
3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,246,3,75,3,165,1,0,0,0,1,13,0,0,13,402,28,374,12,0,12,97,7,56,7,27,
3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,169,3,9,2,155,1,0,0,0,1,13,0,0,13,431,17,414,9,0,9,116,8,93,2,13,
3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,190,8,18,1,163,0,0,0,0,0,0,0,0,0,499,30,469,38,0,38,137,4,99,3,31,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,242,11,29,2,200,2,0,0,1,1,5,0,2,3,545,61,484,31,0,31,142,10,103,1,28,
3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,203,4,25,0,174,1,0,0,0,1,4,0,0,4,475,45,430,14,0,14,125,9,90,3,23,
3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,139,1,12,0,126,0,0,0,0,0,0,0,0,0,199,50,149,8,0,8,50,12,26,0,12,
3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,431,7,25,2,397,1,0,0,0,1,7,0,0,7,560,98,462,31,0,31,231,8,197,12,14,
3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,675,11,20,2,642,2,0,0,0,2,11,0,2,9,1489,100,1389,46,0,46,473,11,378,10,74,
3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,456,9,14,1,432,0,0,0,0,0,9,0,0,9,1066,57,1009,52,0,52,254,7,204,3,40,
3173011001,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,387,2,62,1,322,0,0,0,0,0,5,0,0,5,917,150,767,11,0,11,201,18,137,4,42,
3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,545,3,81,7,454,1,0,0,0,1,4,0,1,3,1197,243,954,14,0,14,349,15,244,11,79,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,537,7,48,4,478,1,0,0,0,1,30,0,0,30,1524,86,1438,82,0,82,176,6,138,4,28,
