,tanggal,nama_kecamatan,positif
0,2020-03-25,CAKUNG,8.0
1,2020-03-26,CAKUNG,8.0
2,2020-03-27,CAKUNG,8.0
3,2020-03-28,CAKUNG,8.0
4,2020-03-29,CAKUNG,9.0
5,2020-03-30,CAKUNG,10.0
6,2020-03-31,CAKUNG,12.0
7,2020-04-01,CAKUNG,12.0
8,2020-04-02,CAKUNG,12.0
9,2020-04-03,CAKUNG,12.0
10,2020-04-04,CAKUNG,14.0
11,2020-04-05,CAKUNG,15.0
12,2020-04-06,CAKUNG,16.0
13,2020-04-07,CAKUNG,16.0
14,2020-04-08,CAKUNG,16.0
15,2020-04-09,CAKUNG,16.0
16,2020-04-10,CAKUNG,17.0
17,2020-04-11,CAKUNG,19.0
18,2020-04-12,CAKUNG,21.0
19,2020-04-13,CAKUNG,26.0
20,2020-04-14,CAKUNG,30.0
21,2020-04-15,CAKUNG,30.0
22,2020-04-16,CAKUNG,39.0
23,2020-04-17,CAKUNG,44.0
24,2020-04-18,CAKUNG,47.0
25,2020-04-19,CAKUNG,47.0
26,2020-04-20,CAKUNG,47.0
27,2020-04-21,CAKUNG,50.0
28,2020-04-22,CAKUNG,53.0
29,2020-04-23,CAKUNG,59.0
30,2020-04-24,CAKUNG,60.0
31,2020-04-25,CAKUNG,64.0
32,2020-04-26,CAKUNG,67.0
33,2020-04-27,CAKUNG,71.0
34,2020-04-28,CAKUNG,75.0
35,2020-04-29,CAKUNG,78.0
36,2020-04-30,CAKUNG,78.0
37,2020-05-01,CAKUNG,80.0
38,2020-05-02,CAKUNG,83.0
39,2020-05-03,CAKUNG,85.0
40,2020-05-04,CAKUNG,90.0
41,2020-05-05,CAKUNG,92.0
42,2020-05-06,CAKUNG,91.0
43,2020-05-07,CAKUNG,91.0
44,2020-05-08,CAKUNG,93.0
45,2020-05-09,CAKUNG,93.0
46,2020-05-10,CAKUNG,97.0
47,2020-05-11,CAKUNG,97.0
48,2020-05-12,CAKUNG,102.0
49,2020-05-13,CAKUNG,103.0
50,2020-05-14,CAKUNG,106.0
51,2020-05-15,CAKUNG,110.0
52,2020-05-16,CAKUNG,113.0
53,2020-05-17,CAKUNG,114.0
54,2020-05-18,CAKUNG,114.0
55,2020-05-19,CAKUNG,114.0
56,2020-05-20,CAKUNG,116.0
57,2020-05-21,CAKUNG,117.0
58,2020-05-22,CAKUNG,117.0
59,2020-05-23,CAKUNG,118.0
60,2020-05-24,CAKUNG,121.0
61,2020-05-25,CAKUNG,121.0
62,2020-05-26,CAKUNG,121.0
63,2020-05-27,CAKUNG,122.0
64,2020-05-28,CAKUNG,123.0
65,2020-05-29,CAKUNG,123.0
66,2020-05-30,CAKUNG,123.0
67,2020-05-31,CAKUNG,123.0
68,2020-06-01,CAKUNG,124.0
69,2020-06-02,CAKUNG,125.0
70,2020-06-03,CAKUNG,125.0
71,2020-06-04,CAKUNG,126.0
72,2020-06-05,CAKUNG,126.0
73,2020-06-06,CAKUNG,127.0
74,2020-06-07,CAKUNG,128.0
75,2020-06-08,CAKUNG,129.0
76,2020-06-09,CAKUNG,129.0
77,2020-06-10,CAKUNG,132.0
78,2020-06-11,CAKUNG,134.0
79,2020-06-12,CAKUNG,135.0
80,2020-06-13,CAKUNG,136.0
81,2020-06-14,CAKUNG,136.0
82,2020-06-15,CAKUNG,137.0
83,2020-06-16,CAKUNG,140.0
84,2020-06-17,CAKUNG,141.0
85,2020-06-18,CAKUNG,145.0
86,2020-06-19,CAKUNG,145.0
87,2020-06-20,CAKUNG,147.0
88,2020-06-21,CAKUNG,150.0
89,2020-06-22,CAKUNG,152.0
90,2020-06-23,CAKUNG,153.0
91,2020-06-24,CAKUNG,152.0
92,2020-06-25,CAKUNG,166.0
93,2020-06-26,CAKUNG,168.0
94,2020-06-27,CAKUNG,171.0
95,2020-06-28,CAKUNG,174.0
96,2020-06-29,CAKUNG,178.0
97,2020-06-30,CAKUNG,178.0
98,2020-07-01,CAKUNG,178.0
99,2020-07-02,CAKUNG,185.0
100,2020-07-03,CAKUNG,191.0
101,2020-07-04,CAKUNG,191.0
102,2020-07-05,CAKUNG,192.0
103,2020-07-06,CAKUNG,194.0
104,2020-07-07,CAKUNG,195.0
105,2020-07-08,CAKUNG,195.0
106,2020-07-09,CAKUNG,202.0
107,2020-07-10,CAKUNG,202.0
108,2020-07-11,CAKUNG,204.0
109,2020-07-12,CAKUNG,208.0
110,2020-07-13,CAKUNG,213.0
111,2020-07-14,CAKUNG,225.0
112,2020-07-15,CAKUNG,234.0
113,2020-07-16,CAKUNG,236.0
114,2020-07-17,CAKUNG,236.0
115,2020-07-18,CAKUNG,249.0
116,2020-07-19,CAKUNG,251.0
117,2020-07-20,CAKUNG,257.0
118,2020-07-21,CAKUNG,271.0
119,2020-07-22,CAKUNG,267.0
120,2020-07-23,CAKUNG,284.0
121,2020-07-24,CAKUNG,287.0
122,2020-07-25,CAKUNG,292.0
123,2020-07-26,CAKUNG,292.0
124,2020-07-27,CAKUNG,298.0
125,2020-07-28,CAKUNG,301.0
126,2020-07-29,CAKUNG,327.0
127,2020-07-30,CAKUNG,336.0
128,2020-07-31,CAKUNG,327.0
129,2020-08-01,CAKUNG,336.62770407647673
130,2020-08-02,CAKUNG,346.3063520284263
131,2020-08-03,CAKUNG,356.0352675065179
132,2020-08-04,CAKUNG,365.81377416142044
133,2020-08-05,CAKUNG,375.6411956438028
134,2020-08-06,CAKUNG,385.5168556043341
135,2020-08-07,CAKUNG,395.44007769368335
136,2020-08-08,CAKUNG,405.4101855625193
137,2020-08-09,CAKUNG,415.4265028615112
138,2020-08-10,CAKUNG,425.4883532413279
139,2020-08-11,CAKUNG,435.59506035263837
140,2020-08-12,CAKUNG,445.7459478461117
141,2020-08-13,CAKUNG,455.94033937241676
142,2020-08-14,CAKUNG,466.1775585822226
143,2020-08-15,CAKUNG,476.4569291261982
144,2020-08-16,CAKUNG,486.7777746550125
145,2020-08-17,CAKUNG,497.13941881933454
146,2020-08-18,CAKUNG,507.54118526983325
147,2020-08-19,CAKUNG,517.9823976571778
148,2020-08-20,CAKUNG,528.4623796320368
149,2020-08-21,CAKUNG,538.9804548450794
150,2020-08-22,CAKUNG,549.5359469469748
151,2020-08-23,CAKUNG,560.1281795883918
152,2020-08-24,CAKUNG,570.7564764199994
153,2020-08-25,CAKUNG,581.4201610924666
154,2020-08-26,CAKUNG,592.1185572564624
155,2020-08-27,CAKUNG,602.8509885626557
156,2020-08-28,CAKUNG,613.6167786617156
157,2020-08-29,CAKUNG,624.4152512043108
158,2020-08-30,CAKUNG,635.2457298411108
159,2020-08-31,CAKUNG,646.1075382227841
160,2020-09-01,CAKUNG,657.0
161,2020-09-02,CAKUNG,668.0
162,2020-09-03,CAKUNG,676.0
163,2020-09-04,CAKUNG,695.0
164,2020-09-05,CAKUNG,823.0
165,2020-09-06,CAKUNG,824.0
166,2020-09-07,CAKUNG,851.0
167,2020-09-08,CAKUNG,799.0
168,2020-09-09,CAKUNG,838.0
169,2020-09-10,CAKUNG,866.0
170,2020-09-11,CAKUNG,916.0
171,2020-09-12,CAKUNG,945.0
172,2020-09-13,CAKUNG,1041.0
173,2020-09-14,CAKUNG,993.0
174,2020-09-15,CAKUNG,1047.0
175,2020-09-16,CAKUNG,1056.0
176,2020-09-17,CAKUNG,1089.0
177,2020-09-18,CAKUNG,1126.0
178,2020-09-19,CAKUNG,1150.0
179,2020-09-20,CAKUNG,1187.0
180,2020-09-21,CAKUNG,1204.0
181,2020-09-22,CAKUNG,1234.0
182,2020-09-23,CAKUNG,1281.0
183,2020-09-24,CAKUNG,1282.0
184,2020-09-25,CAKUNG,1359.0
185,2020-09-26,CAKUNG,1429.0
186,2020-09-27,CAKUNG,1473.0
187,2020-09-28,CAKUNG,1562.0
188,2020-09-29,CAKUNG,1588.0
189,2020-09-30,CAKUNG,1620.0
190,2020-10-01,CAKUNG,1671.0
191,2020-10-02,CAKUNG,1696.0
192,2020-10-03,CAKUNG,1722.0
193,2020-10-04,CAKUNG,1737.0
194,2020-10-05,CAKUNG,1775.0
195,2020-10-06,CAKUNG,1802.0
196,2020-10-07,CAKUNG,1871.0
197,2020-10-08,CAKUNG,1900.0
198,2020-10-09,CAKUNG,1964.0
199,2020-10-10,CAKUNG,2011.0
200,2020-10-11,CAKUNG,2075.0
201,2020-10-12,CAKUNG,2093.0
202,2020-10-13,CAKUNG,2102.0
203,2020-10-14,CAKUNG,2151.0
204,2020-10-15,CAKUNG,2165.0
205,2020-10-16,CAKUNG,2208.0
206,2020-10-17,CAKUNG,2261.0
207,2020-10-18,CAKUNG,2283.0
208,2020-10-19,CAKUNG,2298.0
209,2020-10-20,CAKUNG,2338.0
210,2020-10-21,CAKUNG,2362.0
211,2020-10-22,CAKUNG,2392.0
212,2020-10-23,CAKUNG,2406.0
213,2020-10-24,CAKUNG,2447.0
214,2020-10-25,CAKUNG,2476.0
215,2020-10-26,CAKUNG,2517.0
216,2020-10-27,CAKUNG,2524.0
217,2020-10-28,CAKUNG,2553.0
218,2020-10-29,CAKUNG,2559.0
219,2020-10-30,CAKUNG,2585.0
220,2020-10-31,CAKUNG,2607.0
221,2020-11-01,CAKUNG,2629.0
222,2020-11-02,CAKUNG,2666.0
223,2020-11-03,CAKUNG,2701.0
224,2020-11-04,CAKUNG,2733.0
225,2020-11-05,CAKUNG,2761.0
226,2020-11-06,CAKUNG,2777.0
227,2020-11-07,CAKUNG,2840.0
228,2020-11-08,CAKUNG,2873.0
229,2020-11-09,CAKUNG,2891.0
230,2020-11-10,CAKUNG,2932.0
231,2020-11-11,CAKUNG,2943.0
232,2020-11-12,CAKUNG,2972.0
233,2020-11-13,CAKUNG,3017.0
234,2020-11-14,CAKUNG,3058.0
235,2020-11-15,CAKUNG,3106.0
236,2020-11-16,CAKUNG,3140.0
237,2020-11-17,CAKUNG,3161.0
238,2020-11-18,CAKUNG,3196.0
239,2020-11-19,CAKUNG,3232.0
