tanggal,nama_kecamatan,positif
2020-03-25,CAKUNG,8
2020-03-26,CAKUNG,8
2020-03-27,CAKUNG,8
2020-03-28,CAKUNG,8
2020-03-29,CAKUNG,9
2020-03-30,CAKUNG,10
2020-03-31,CAKUNG,12
2020-04-01,CAKUNG,12
2020-04-02,CAKUNG,12
2020-04-03,CAKUNG,12
2020-04-04,CAKUNG,14
2020-04-05,CAKUNG,15
2020-04-06,CAKUNG,16
2020-04-07,CAKUNG,16
2020-04-08,CAKUNG,16
2020-04-09,CAKUNG,16
2020-04-10,CAKUNG,17
2020-04-11,CAKUNG,19
2020-04-12,CAKUNG,21
2020-04-13,CAKUNG,26
2020-04-14,CAKUNG,30
2020-04-15,CAKUNG,30
2020-04-16,CAKUNG,39
2020-04-17,CAKUNG,44
2020-04-18,CAKUNG,47
2020-04-19,CAKUNG,47
2020-04-20,CAKUNG,47
2020-04-21,CAKUNG,50
2020-04-22,CAKUNG,53
2020-04-23,CAKUNG,59
2020-04-24,CAKUNG,60
2020-04-25,CAKUNG,64
2020-04-26,CAKUNG,67
2020-04-27,CAKUNG,71
2020-04-28,CAKUNG,75
2020-04-29,CAKUNG,78
2020-04-30,CAKUNG,78
2020-05-01,CAKUNG,80
2020-05-02,CAKUNG,83
2020-05-03,CAKUNG,85
2020-05-04,CAKUNG,90
2020-05-05,CAKUNG,92
2020-05-06,CAKUNG,91
2020-05-07,CAKUNG,91
2020-05-08,CAKUNG,93
2020-05-09,CAKUNG,93
2020-05-10,CAKUNG,97
2020-05-11,CAKUNG,97
2020-05-12,CAKUNG,102
2020-05-13,CAKUNG,103
2020-05-14,CAKUNG,106
2020-05-15,CAKUNG,110
2020-05-16,CAKUNG,113
2020-05-17,CAKUNG,114
2020-05-18,CAKUNG,114
2020-05-19,CAKUNG,114
2020-05-20,CAKUNG,116
2020-05-21,CAKUNG,117
2020-05-22,CAKUNG,117
2020-05-23,CAKUNG,118
2020-05-24,CAKUNG,121
2020-05-25,CAKUNG,121
2020-05-26,CAKUNG,121
2020-05-27,CAKUNG,122
2020-05-28,CAKUNG,123
2020-05-29,CAKUNG,123
2020-05-30,CAKUNG,123
2020-05-31,CAKUNG,123
2020-06-01,CAKUNG,124
2020-06-02,CAKUNG,125
2020-06-03,CAKUNG,125
2020-06-04,CAKUNG,126
2020-06-05,CAKUNG,126
2020-06-06,CAKUNG,127
2020-06-07,CAKUNG,128
2020-06-08,CAKUNG,129
2020-06-09,CAKUNG,129
2020-06-10,CAKUNG,132
2020-06-11,CAKUNG,134
2020-06-12,CAKUNG,135
2020-06-13,CAKUNG,136
2020-06-14,CAKUNG,136
2020-06-15,CAKUNG,137
2020-06-16,CAKUNG,140
2020-06-17,CAKUNG,141
2020-06-18,CAKUNG,145
2020-06-19,CAKUNG,145
